user_id,track_id,listen_time
36857,7eVgS0wHZSRjNHObWO6vNg,2024-06-25 14:15:28
17673,0un1UwP6LBEUp1qPyTMV2C,2024-06-25 06:27:52
22427,13kn1edTUChfFQTbBhenIM,2024-06-25 18:36:50
30503,4WNBLbyrgLu34gmdYd5pkx,2024-06-25 04:11:39
26573,1wMoz6YOoZjHZCDL9Ssx1b,2024-06-25 06:15:20
41871,6vLOjUphbNT9Q21euUuCSZ,2024-06-25 03:48:21
5684,2UkdH2WwhNlHu4MpMUzFIF,2024-06-25 15:29:13
3362,4y1N0YFguPqanlgfZB0YGa,2024-06-25 15:12:12
13775,5TLRLxk9xCOnSeDQnhHKl2,2024-06-25 03:59:58
4662,2pX5WXKPnOZiSeL8hQEYDo,2024-06-25 05:54:02
13776,6zJosLapehyU5KCba2KYK0,2024-06-25 19:04:20
32940,5rmkJLumcEodfIXSMaK7vq,2024-06-25 16:01:57
7249,7DOuM8cAxWRssJnWQO3tLE,2024-06-25 02:28:34
41366,6B1iDt4SJmWFUeC61V4W7S,2024-06-25 03:44:39
4227,2sHcAZQ1PxE5AqCzdrvQxu,2024-06-25 17:14:52
21559,4qhP9KcZc1eT8HFJKfrKuo,2024-06-25 00:45:41
29472,4o3XxiQ9BljY4OU38zanC0,2024-06-25 11:27:25
32467,6rkmnxSgPIYrC4fUd9WASP,2024-06-25 22:37:04
28806,0nQW6y0Zat25RMPsDamqq1,2024-06-25 17:34:01
29573,3obMOHneBjZoWH6Aeza6KI,2024-06-25 10:55:27
13939,1GFS7VMSTiLx90BYBL2XnK,2024-06-25 04:44:49
39517,1o7LoJTQd4Js16rHjTKAc9,2024-06-25 07:30:37
37179,1Qc7zCw6k2KTvSEl4IKSdP,2024-06-25 11:14:53
28599,1Jso0EGbuknStEGE3BNVtX,2024-06-25 15:10:53
14824,5h8tl3iVWK2UezXKbIVs7f,2024-06-25 17:30:07
13813,2AczNQ6f0bqfBU3oEnuB0e,2024-06-25 11:25:09
46490,31yDpJjmuvXqALS2U48HKs,2024-06-25 14:41:47
13248,37CZgMBMfnNLul4LQ9rg1u,2024-06-25 08:06:46
27480,2A1qjaX1EtgiHXrJuURZ19,2024-06-25 04:00:05
46563,2jjYoxsKWwyaf233MXS9K7,2024-06-25 01:28:08
