id,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
67140,6MxGvnJWqdGS0chQypGXhB,J Balvin;Ryan Castro,Feliz Cumpleaños con Perreo,Nivel De Perreo,2,151573,True,0.802,0.828,1,-3.601,1,0.0756,0.0217,0.0,0.0692,0.722,91.983,4,latin
107395,1VKnVxZZnubjTEJG6Tme1y,Papa Dance,Papa Dance,Kamikadze wróć!,30,220266,False,0.786,0.866,11,-9.756,1,0.0399,0.286,0.0,0.245,0.967,129.212,4,synth-pop
19476,3Lu4WAsmpag6CZSN0H3Wor,Steely Dan,Fiesta temática 70s,Do It Again,0,354933,False,0.695,0.583,2,-8.265,0,0.0303,0.157,7.61e-05,0.0576,0.96,124.61,4,country
74083,64JF6DqxJsGxiyUAhbHX49,Ednardo,Ednardo,Enquanto Engoma A Calça,48,213133,False,0.655,0.759,0,-9.235,1,0.25,0.249,0.0,0.18,0.707,97.455,4,mpb
108906,3TjXPh8bOY0K6K5WnReqH8,Esteban Morgado,Milongueros,Oblivion,16,305680,False,0.366,0.465,2,-4.685,0,0.0296,0.626,0.00416,0.161,0.353,116.53,4,tango
52748,1cmEK62km406VcXO88x4Gy,George Jones,The New Favorites Of George Jones,What Am I Worth,12,128306,False,0.577,0.712,7,-7.401,1,0.05,0.572,0.0,0.107,0.964,89.38,4,honky-tonk
104751,4FrThBco0jLqXEMULUhSM9,Alberto Gambino,Purpurina,Purpurina,59,192000,False,0.89,0.643,9,-6.093,1,0.0688,0.135,0.0,0.241,0.97,132.08,4,spanish
79446,2gwqNSjWizu6CkIdRaAr6p,Instrumental Worship Project from I’m In Records,Adoração (Instrumental),Cordeiro Que Sofreu,35,312744,False,0.572,0.0745,6,-16.153,1,0.0314,0.988,0.949,0.11,0.152,137.708,4,piano
88189,5RZ2onkccYP8RbSamO0hXT,KAROL G;Camilo,Esto No Se Le Dedica A Cualquiera,CONTIGO VOY A MUERTE,4,219960,False,0.77,0.852,11,-2.593,1,0.0489,0.201,3.06e-06,0.0623,0.785,82.997,4,reggae
111728,3aOrdnuVT2mc9I4tYhZCSw,Hird,Moving On,Burn 4,19,299133,False,0.792,0.436,7,-10.644,1,0.0555,0.018,0.948,0.0871,0.631,89.988,4,trip-hop
